sl_no,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,State
1,42,Kurnool,Kurnool,Arhar (Tur/Red Gram)(Whole),Local,Non-FAQ,2469.0,6440.0,6316.0,13 Aug 2025,Andhra Pradesh
2,388,Chittor,Puttur,Mango,Totapuri,Medium,700.0,1500.0,1100.0,05 Jun 2025,Andhra Pradesh
3,256,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,4000.0,2500.0,17 Dec 2024,Andhra Pradesh
4,382,Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,2100.0,2250.0,2225.0,27 May 2025,Andhra Pradesh
5,51,Chittor,Palamaner,Cabbage,Cabbage,FAQ,600.0,1100.0,900.0,08 Feb 2025,Andhra Pradesh
6,148,Kurnool,Adoni,Cotton,Bunny,FAQ,4780.0,7966.0,7460.0,07 Apr 2025,Andhra Pradesh
7,398,East Godavari,Rajahmundry,Mango,Raspuri,Medium,2000.0,3500.0,3000.0,01 Jun 2025,Andhra Pradesh
8,334,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,2225.0,2300.0,2275.0,01 Apr 2025,Andhra Pradesh
9,222,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,5392.0,6456.0,6080.0,24 May 2025,Andhra Pradesh
10,379,Krishna,Tiruvuru,Cotton,Bunny,FAQ,7300.0,7500.0,7400.0,12 Nov 2024,Andhra Pradesh
11,1109,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200.0,3500.0,3500.0,11 Dec 2024,Andhra Pradesh
12,758,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4130.0,5230.0,4680.0,24 Oct 2024,Andhra Pradesh
13,376,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200.0,3500.0,3500.0,26 Aug 2024,Andhra Pradesh
14,101,Chittor,Palamaner,Cabbage,Cabbage,FAQ,630.0,930.0,830.0,26 Jul 2025,Andhra Pradesh
15,428,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,3491.0,5616.0,5396.0,27 Dec 2024,Andhra Pradesh
16,1183,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3300.0,3700.0,3500.0,05 May 2025,Andhra Pradesh
17,561,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4350.0,4950.0,4650.0,27 Aug 2024,Andhra Pradesh
18,649,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3250.0,3500.0,3375.0,11 Oct 2024,Andhra Pradesh
19,993,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2800.0,3080.0,2940.0,03 Apr 2025,Andhra Pradesh
20,241,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,2400.0,2600.0,2500.0,25 Sep 2024,Andhra Pradesh
21,86,Chittor,Palamaner,Cabbage,Cabbage,FAQ,360.0,560.0,460.0,27 May 2025,Andhra Pradesh
22,506,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,2250.0,2400.0,2350.0,14 Jul 2025,Andhra Pradesh
23,600,Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,2100.0,2250.0,2225.0,14 May 2025,Andhra Pradesh
24,280,Chittor,Puttur,Mango,Totapuri,Medium,800.0,1050.0,1000.0,18 Jun 2025,Andhra Pradesh
25,133,Krishna,Mylavaram,Maize,Deshi Red,FAQ,2225.0,2225.0,2225.0,29 Mar 2025,Andhra Pradesh
26,300,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3760.0,4000.0,3880.0,05 Aug 2025,Andhra Pradesh
27,169,Kurnool,Kurnool,Maize,Local,FAQ,2110.0,2250.0,2139.0,19 May 2025,Andhra Pradesh
28,403,Kurnool,Kurnool,Arhar (Tur/Red Gram)(Whole),Local,Non-FAQ,2900.0,6936.0,6425.0,24 Feb 2025,Andhra Pradesh
29,37,Kurnool,Kurnool,Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,2200.0,2200.0,2200.0,16 Apr 2025,Andhra Pradesh
30,98,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1500.0,1000.0,26 Sep 2024,Andhra Pradesh
31,292,Krishna,Tiruvuru,Cotton,Bunny,FAQ,7300.0,7380.0,7340.0,21 Feb 2025,Andhra Pradesh
32,208,Nellore,Atmakur(SPS),Cotton,Local,FAQ,7121.0,7600.0,7521.0,25 Jun 2025,Andhra Pradesh
33,74,Krishna,Tiruvuru,Cotton,Bunny,FAQ,7200.0,7500.0,7300.0,22 Oct 2024,Andhra Pradesh
34,34,Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,2150.0,2250.0,2225.0,30 Jun 2025,Andhra Pradesh
35,117,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,04 Jun 2025,Andhra Pradesh
36,843,Kurnool,Yemmiganur,Groundnut,TMV-2,FAQ,3368.0,6670.0,5810.0,11 Mar 2025,Andhra Pradesh
37,199,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1000.0,800.0,25 Apr 2025,Andhra Pradesh
38,175,Chittor,Palamaner,Brinjal,Brinjal,FAQ,2000.0,3000.0,2500.0,09 Oct 2024,Andhra Pradesh
39,72,Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,4569.0,6509.0,6509.0,11 Jul 2025,Andhra Pradesh
40,30,Kurnool,Kurnool,Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,2349.0,2349.0,2349.0,19 Apr 2025,Andhra Pradesh
41,588,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200.0,3500.0,3500.0,02 Dec 2024,Andhra Pradesh
42,88,Kurnool,Nandyal,Jowar(Sorghum),Jowar (Yellow),Non-FAQ,2000.0,2000.0,2000.0,05 Mar 2025,Andhra Pradesh
43,851,Kurnool,Yemmiganur,Groundnut,TMV-2,Non-FAQ,2280.0,4890.0,3920.0,04 Mar 2025,Andhra Pradesh
44,13,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,06 Mar 2025,Andhra Pradesh
45,320,Krishna,Mylavaram,Maize,Deshi Red,Non-FAQ,1700.0,2000.0,1800.0,04 Mar 2025,Andhra Pradesh
46,308,Kurnool,Adoni,Cotton,Bunny,FAQ,5366.0,7349.0,7179.0,28 Nov 2024,Andhra Pradesh
47,395,Kurnool,Adoni,Cotton,Bunny,FAQ,7159.0,7979.0,7969.0,21 Jun 2025,Andhra Pradesh
48,876,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3400.0,3500.0,3500.0,11 May 2025,Andhra Pradesh
49,169,Kurnool,Adoni,Cotton,Bunny,FAQ,4480.0,8032.0,7829.0,27 Jun 2025,Andhra Pradesh
50,9,Kurnool,Kurnool,Maize,Local,FAQ,2197.0,2243.0,2219.0,14 May 2025,Andhra Pradesh
51,501,Nellore,Gudur,Groundnut,Balli/Habbu,FAQ,6500.0,6600.0,6550.0,04 Sep 2024,Andhra Pradesh
52,48,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3280.0,3880.0,3580.0,29 Nov 2024,Andhra Pradesh
53,223,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2930.0,3090.0,3010.0,07 Dec 2024,Andhra Pradesh
54,457,Chittor,Puttur,Mango,Totapuri,Medium,800.0,1200.0,1000.0,17 Jun 2025,Andhra Pradesh
55,1090,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3400.0,3500.0,3500.0,02 Apr 2025,Andhra Pradesh
56,127,Chittor,Chittoor,Mango,Totapuri,Large,800.0,1000.0,950.0,22 Jun 2025,Andhra Pradesh
57,996,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2870.0,3240.0,3055.0,14 Feb 2025,Andhra Pradesh
58,96,Chittor,Tirupati,Mango,Totapuri,Medium,1500.0,1800.0,1650.0,21 May 2025,Andhra Pradesh
59,29,Chittor,Palamaner,Cabbage,Cabbage,FAQ,500.0,900.0,700.0,01 Oct 2024,Andhra Pradesh
60,972,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4400.0,5100.0,4750.0,18 Sep 2024,Andhra Pradesh
61,118,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3500.0,4220.0,3860.0,18 Sep 2024,Andhra Pradesh
62,1094,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3400.0,3500.0,3500.0,12 Jul 2025,Andhra Pradesh
63,85,Kurnool,Kurnool,Maize,Local,FAQ,1609.0,2245.0,2245.0,10 Mar 2025,Andhra Pradesh
64,66,Kurnool,Nandyal,Jowar(Sorghum),Jowar (Yellow),Non-FAQ,2000.0,2000.0,2000.0,29 Mar 2025,Andhra Pradesh
65,218,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,3711.0,6855.0,4591.0,21 Oct 2024,Andhra Pradesh
66,207,Chittor,Palamaner,Cabbage,Cabbage,FAQ,500.0,1500.0,1100.0,07 Jul 2025,Andhra Pradesh
67,89,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,07 Jun 2025,Andhra Pradesh
68,29,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1000.0,800.0,28 Feb 2025,Andhra Pradesh
69,469,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,2300.0,2400.0,2340.0,03 Mar 2025,Andhra Pradesh
70,154,Chittor,Chittoor,Mango,Totapuri,Large,1000.0,1200.0,1150.0,17 Jun 2025,Andhra Pradesh
71,794,Kurnool,Yemmiganur,Groundnut,TMV-2,Non-FAQ,3040.0,4455.0,4068.0,04 Feb 2025,Andhra Pradesh
72,627,Kurnool,Nandyal,Maize,Deshi Red,FAQ,2690.0,2690.0,2690.0,04 Feb 2025,Andhra Pradesh
73,788,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3740.0,4280.0,4010.0,29 Apr 2025,Andhra Pradesh
74,240,Chittor,Chittoor,Mango,Totapuri,Large,400.0,600.0,500.0,17 Jul 2025,Andhra Pradesh
75,539,Krishna,Mylavaram,Maize,Deshi Red,Non-FAQ,1800.0,2180.0,2050.0,10 Apr 2025,Andhra Pradesh
76,451,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3160.0,3800.0,3480.0,19 Dec 2024,Andhra Pradesh
77,160,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,13 Dec 2024,Andhra Pradesh
78,200,Anantapur,Tenakallu,Groundnut,Balli/Habbu,FAQ,7000.0,8000.0,7500.0,03 Dec 2024,Andhra Pradesh
79,195,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3620.0,4140.0,3880.0,26 Feb 2025,Andhra Pradesh
80,383,Kurnool,Adoni,Cotton,Bunny,FAQ,4006.0,7711.0,7424.0,16 Aug 2024,Andhra Pradesh
81,1077,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200.0,3500.0,3500.0,21 Nov 2024,Andhra Pradesh
82,585,Kurnool,Nandyal,Maize,Deshi Red,Non-FAQ,2000.0,2516.0,2000.0,03 Apr 2025,Andhra Pradesh
83,334,Kurnool,Adoni,Cotton,Bunny,FAQ,4670.0,7422.0,7229.0,12 Feb 2025,Andhra Pradesh
84,186,Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,4269.0,6779.0,5529.0,14 Jul 2025,Andhra Pradesh
85,249,Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,2225.0,2310.0,2265.0,16 Mar 2025,Andhra Pradesh
86,221,East Godavari,Rajahmundry,Mango,Raspuri,Medium,2600.0,3000.0,2800.0,16 Jun 2025,Andhra Pradesh
87,87,Kurnool,Adoni,Cotton,Bunny,FAQ,4610.0,7594.0,7389.0,25 Feb 2025,Andhra Pradesh
88,303,Kurnool,Adoni,Cotton,Bunny,FAQ,4216.0,7555.0,7360.0,04 Oct 2024,Andhra Pradesh
89,30,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1200.0,1000.0,28 Jun 2025,Andhra Pradesh
90,54,Chittor,Palamaner,Cabbage,Cabbage,FAQ,800.0,1200.0,1000.0,22 Aug 2024,Andhra Pradesh
91,168,Kurnool,Kurnool,Maize,Local,FAQ,1819.0,2259.0,2149.0,22 Feb 2025,Andhra Pradesh
92,225,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3010.0,3260.0,3135.0,16 Apr 2025,Andhra Pradesh
93,11,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1500.0,1000.0,25 Sep 2024,Andhra Pradesh
94,612,Kurnool,Kurnool,Groundnut,Local,Non-FAQ,1357.0,6783.0,4499.0,28 Jan 2025,Andhra Pradesh
95,19,Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,3296.0,6239.0,5689.0,07 May 2025,Andhra Pradesh
96,858,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3090.0,3440.0,3265.0,11 Aug 2025,Andhra Pradesh
97,648,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3200.0,3780.0,3490.0,02 May 2025,Andhra Pradesh
98,259,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,3166.0,6530.0,6251.0,27 Mar 2025,Andhra Pradesh
99,51,Kurnool,Kurnool,Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,1900.0,2011.0,2011.0,10 Feb 2025,Andhra Pradesh
100,468,Chittor,Tirupati,Mango,Badami,Medium,2000.0,2500.0,2400.0,03 Jun 2025,Andhra Pradesh
101,164,Dahod,Dahod(Veg. Market),Carrot,Carrot,FAQ,2500.0,3500.0,3000.0,03 Dec 2024,Gujarat
102,5790,Bhavnagar,Taleja,Arhar (Tur/Red Gram)(Whole),Other,FAQ,5510.0,6505.0,6010.0,21 Mar 2025,Gujarat
103,8062,Rajkot,Rajkot,Groundnut,Bold,FAQ,4500.0,5760.0,5000.0,26 Sep 2024,Gujarat
104,7333,Jamnagar,Kalawad,Groundnut,Other,FAQ,4000.0,6550.0,5825.0,26 May 2025,Gujarat
105,6306,Rajkot,Upleta,Cotton,Other,Non-FAQ,5000.0,6800.0,6500.0,29 Jul 2025,Gujarat
106,2998,Jamnagar,Jamnagar,Soyabean,Local,FAQ,4800.0,4935.0,4915.0,03 Jun 2025,Gujarat
107,1322,Bharuch,Ankleshwar,Carrot,Carrot,FAQ,1200.0,2000.0,1500.0,02 Apr 2025,Gujarat
108,7046,Amreli,Dhari,Cotton,Local,Non-FAQ,5025.0,7090.0,7010.0,25 Feb 2025,Gujarat
109,2246,Bharuch,Jambusar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,8000.0,8400.0,8200.0,08 Nov 2024,Gujarat
110,1575,Amreli,Amreli,Groundnut,Big (With Shell),Non-FAQ,3625.0,5460.0,5300.0,02 Apr 2025,Gujarat
111,6697,Banaskanth,Deesa(Deesa Veg Yard),Brinjal,Other,FAQ,4000.0,6150.0,5075.0,23 Jul 2025,Gujarat
112,3874,Sabarkantha,Himatnagar,Cotton,Cotton (Unginned),FAQ,6755.0,7470.0,7113.0,31 Dec 2024,Gujarat
113,2520,Gandhinagar,Mansa,Mustard,Mustard,FAQ,4790.0,5200.0,4950.0,08 Feb 2025,Gujarat
114,2934,Rajkot,Dhoraji,Soyabean,Yellow,FAQ,3830.0,3930.0,3930.0,21 Aug 2024,Gujarat
115,982,Surat,Bardoli(Katod),Bhindi(Ladies Finger),Other,FAQ,1250.0,2350.0,1850.0,22 May 2025,Gujarat
116,761,Valsad,Valsad,Mango,Keshar,Medium,5500.0,7000.0,6000.0,17 May 2025,Gujarat
117,1034,Anand,Borsad,Bajra(Pearl Millet/Cumbu),Other,FAQ,2500.0,2650.0,2575.0,18 Dec 2024,Gujarat
118,5151,Banaskanth,Deesa(Deesa Veg Yard),Cauliflower,Other,FAQ,3500.0,4250.0,3875.0,19 Jun 2025,Gujarat
119,10489,Kheda,Kapadvanj,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2350.0,2700.0,2525.0,21 Dec 2024,Gujarat
120,259,Amreli,Babra,Cotton,Other,FAQ,7075.0,8425.0,7750.0,02 Oct 2024,Gujarat
121,4713,Navsari,Bilimora,Brinjal,Other,FAQ,2500.0,3000.0,2800.0,14 Dec 2024,Gujarat
122,1099,Rajkot,Gondal(Veg.market Gondal),Mango,Keshar,Medium,2000.0,5000.0,3500.0,20 Jul 2025,Gujarat
123,447,Rajkot,Jetpur(Dist.Rajkot),Garlic,Garlic,FAQ,2250.0,6205.0,4805.0,10 Mar 2025,Gujarat
124,5371,Navsari,Vansda,Bhindi(Ladies Finger),Bhindi,FAQ,4000.0,4500.0,4250.0,08 Aug 2025,Gujarat
125,256,Navsari,Bilimora,Brinjal,Other,FAQ,1500.0,2000.0,1800.0,10 Mar 2025,Gujarat
126,1881,Surat,Mandvi,Green Gram (Moong)(Whole),Other,Non-FAQ,7250.0,7750.0,7500.0,19 May 2025,Gujarat
127,1347,Porbandar,Porbandar,Cauliflower,African Sarson,FAQ,3500.0,4500.0,4000.0,05 Aug 2025,Gujarat
128,4009,Porbandar,Porbandar,Jowar(Sorghum),Other,FAQ,3100.0,3900.0,3500.0,07 Apr 2025,Gujarat
129,10501,Anand,Khambhat(Grain Market),Bajra(Pearl Millet/Cumbu),Other,FAQ,2250.0,2750.0,2400.0,07 Aug 2025,Gujarat
130,8978,Banaskanth,Palanpur,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2850.0,2850.0,2850.0,24 Jan 2025,Gujarat
131,2433,Banaskanth,Palanpur,Mustard,Mustard,FAQ,5800.0,6010.0,5905.0,28 May 2025,Gujarat
132,3531,Rajkot,Rajkot,Green Gram (Moong)(Whole),Green (Whole),FAQ,6550.0,8015.0,7850.0,07 Jun 2025,Gujarat
133,1712,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,350.0,850.0,600.0,26 Jan 2025,Gujarat
134,8527,Amreli,Savarkundla,Groundnut,Big (With Shell),Non-FAQ,4900.0,5700.0,5100.0,09 May 2025,Gujarat
135,4962,Mehsana,Visnagar,Jowar(Sorghum),Other,FAQ,3000.0,5000.0,4000.0,16 Aug 2024,Gujarat
136,91,Devbhumi Dwarka,Bhanvad,Soyabean,Soyabeen,FAQ,3500.0,4200.0,4000.0,09 Dec 2024,Gujarat
137,9773,Bharuch,Jambusar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2400.0,2800.0,2600.0,11 May 2025,Gujarat
138,1694,Sabarkantha,Idar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,5750.0,7805.0,7550.0,10 Jan 2025,Gujarat
139,5224,Morbi,Morbi,Bhindi(Ladies Finger),Bhindi,FAQ,3000.0,4000.0,3500.0,08 Apr 2025,Gujarat
140,10795,Patan,Patan,Groundnut,Other,FAQ,4000.0,4925.0,4475.0,13 Dec 2024,Gujarat
141,2088,Anand,Khambhat(Veg Yard Khambhat),Cauliflower,Other,FAQ,2000.0,3000.0,2600.0,22 Jul 2025,Gujarat
142,3944,Amreli,Dhari,Cotton,Local,Non-FAQ,6050.0,6050.0,6050.0,14 Jun 2025,Gujarat
143,2552,Patan,"Patan(Veg,Yard Patan)",Cauliflower,Other,FAQ,1500.0,2300.0,1900.0,17 Dec 2024,Gujarat
144,5106,Rajkot,Jetpur(Dist.Rajkot),Soyabean,Soyabeen,FAQ,3500.0,4055.0,4000.0,28 Jun 2025,Gujarat
145,6966,Bhavnagar,Taleja,Groundnut,G20,FAQ,4975.0,5140.0,5060.0,23 Apr 2025,Gujarat
146,4863,Banaskanth,Deesa(Deesa Veg Yard),Brinjal,Other,FAQ,1000.0,1550.0,1275.0,24 Apr 2025,Gujarat
147,6138,Surat,Nizar(Pumkitalov),Bajra(Pearl Millet/Cumbu),Other,FAQ,2100.0,2295.0,2235.0,10 Jan 2025,Gujarat
148,1874,Amreli,Damnagar,Brinjal,Other,FAQ,3050.0,4050.0,3500.0,11 Jul 2025,Gujarat
149,3105,Navsari,Navsari,Green Chilli,Green Chilly,FAQ,2500.0,6500.0,4500.0,02 Jul 2025,Gujarat
150,6393,Jamnagar,Jamnagar,Mustard,Other,FAQ,5600.0,6000.0,5875.0,01 Oct 2024,Gujarat
151,7722,Bhavnagar,Mahuva(Station Road),Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2055.0,2965.0,2500.0,26 Apr 2025,Gujarat
152,5598,Porbandar,Porbandar,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,04 Jun 2025,Gujarat
153,6509,Navsari,Navsari,Bhindi(Ladies Finger),Bhindi,FAQ,2000.0,2500.0,2250.0,17 Aug 2024,Gujarat
154,4978,Porbandar,Porbandar,Cabbage,Cabbage,FAQ,1500.0,2000.0,1750.0,01 Jul 2025,Gujarat
155,1929,Banaskanth,Panthawada,Mustard,Other,FAQ,5000.0,5580.0,5500.0,10 Feb 2025,Gujarat
156,1775,Navsari,Bilimora,Green Chilli,Other,FAQ,7000.0,8000.0,7500.0,14 Mar 2025,Gujarat
157,740,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,1300.0,1600.0,1500.0,21 Mar 2025,Gujarat
158,5236,Porbandar,Porbandar,Brinjal,Arkasheela Mattigulla,FAQ,1000.0,2000.0,1500.0,27 Nov 2024,Gujarat
159,2794,Botad,Botad(Haddad),Cotton,Shanker 6 (B) 30mm FIne,Non-FAQ,7250.0,8205.0,7750.0,25 Jun 2025,Gujarat
160,4361,Sabarkantha,Bhiloda,Cotton,Other,FAQ,7000.0,7225.0,7113.0,29 Jan 2025,Gujarat
161,3352,Rajkot,Jetpur(Dist.Rajkot),Groundnut,Other,FAQ,3250.0,6955.0,5750.0,11 Jun 2025,Gujarat
162,6191,Bhavnagar,Bhavnagar,Groundnut,Other,FAQ,4750.0,7590.0,6170.0,02 Dec 2024,Gujarat
163,218,Jamnagar,Dhrol,Green Gram (Moong)(Whole),Other,FAQ,6800.0,7400.0,7100.0,30 May 2025,Gujarat
164,11004,Amreli,Rajula,Bajra(Pearl Millet/Cumbu),Local,FAQ,2560.0,3155.0,2858.0,19 Nov 2024,Gujarat
165,5178,Morbi,Morbi,Brinjal,Brinjal,FAQ,1000.0,2000.0,1500.0,05 Apr 2025,Gujarat
166,2101,Anand,Khambhat(Veg Yard Khambhat),Brinjal,Other,FAQ,500.0,1000.0,800.0,25 Mar 2025,Gujarat
167,661,Jamnagar,Dhrol,Jowar(Sorghum),Other,FAQ,2105.0,3375.0,2740.0,09 Oct 2024,Gujarat
168,4902,Rajkot,Rajkot,Mustard,Mustard,FAQ,5900.0,6440.0,6300.0,17 Jul 2025,Gujarat
169,7378,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,FAQ,2850.0,3550.0,3200.0,01 Mar 2025,Gujarat
170,1757,Panchmahals,Gogamba(Similiya),Arhar (Tur/Red Gram)(Whole),Other,FAQ,5000.0,5500.0,5250.0,18 Jul 2025,Gujarat
171,1979,Anand,Khambhat(Veg Yard Khambhat),Cauliflower,Other,FAQ,2000.0,2500.0,2300.0,06 May 2025,Gujarat
172,3091,Morbi,Morbi,Groundnut,Other,FAQ,4515.0,4575.0,4545.0,02 May 2025,Gujarat
173,4411,Bharuch,Ankleshwar,Brinjal,Brinjal,FAQ,4000.0,6000.0,5000.0,30 Jun 2025,Gujarat
174,2433,Rajkot,Gondal(Veg.market Gondal),Cabbage,Cabbage,FAQ,700.0,1500.0,1100.0,20 Jun 2025,Gujarat
175,3852,Banaskanth,Dhanera,Mustard,Mustard,FAQ,5600.0,6295.0,5880.0,10 Jun 2025,Gujarat
176,6541,Panchmahals,Gogamba(Similiya),Arhar (Tur/Red Gram)(Whole),Other,FAQ,7200.0,7650.0,7550.0,20 Mar 2025,Gujarat
177,1987,Porbandar,Porbandar,Green Gram (Moong)(Whole),Green (Whole),FAQ,8100.0,8100.0,8100.0,03 Jan 2025,Gujarat
178,11047,Bhavnagar,Taleja,Bajra(Pearl Millet/Cumbu),Local,FAQ,1505.0,2630.0,2070.0,30 Jun 2025,Gujarat
179,3597,Mehsana,Mehsana(Mehsana Veg),Cauliflower,Cauliflower,FAQ,400.0,1200.0,600.0,05 Mar 2025,Gujarat
180,2759,Banaskanth,Deesa(Deesa Veg Yard),Brinjal,Other,FAQ,2500.0,3000.0,2750.0,08 Nov 2024,Gujarat
181,366,Amreli,Damnagar,Green Chilli,Green Chilly,FAQ,1550.0,2550.0,2200.0,19 May 2025,Gujarat
182,2331,Navsari,Navsari,Cauliflower,African Sarson,FAQ,3000.0,4000.0,3500.0,07 Oct 2024,Gujarat
183,2055,Patan,Siddhpur,Mustard,Mustard,FAQ,5315.0,5590.0,5452.0,10 Sep 2024,Gujarat
184,5608,Rajkot,Jasdan,Mustard,Mustard,Non-FAQ,4000.0,5750.0,5250.0,21 Mar 2025,Gujarat
185,6402,Kheda,Nadiyad(Chaklasi),Brinjal,Brinjal,FAQ,1400.0,2000.0,1800.0,30 Aug 2024,Gujarat
186,2723,Junagarh,Bhesan,Soyabean,Other,FAQ,3500.0,4080.0,3900.0,27 Jan 2025,Gujarat
187,7717,Morbi,Halvad,Cotton,Other,FAQ,6755.0,7650.0,7400.0,29 May 2025,Gujarat
188,8796,Sabarkantha,Talod,Groundnut,Other,FAQ,4750.0,6550.0,5650.0,17 Feb 2025,Gujarat
189,3017,Rajkot,Gondal(Veg.market Gondal),Green Chilli,Green Chilly,FAQ,1000.0,3000.0,2000.0,17 Feb 2025,Gujarat
190,1825,Dahod,Dahod,Maize,White (SAFED),FAQ,2250.0,3000.0,2700.0,18 Nov 2024,Gujarat
191,1128,Valsad,Pardi(Rohinee),Mango,Other,Large,1500.0,2000.0,2000.0,17 May 2025,Gujarat
192,2449,Jamnagar,Jamnagar,Groundnut,Other,FAQ,6700.0,9425.0,7650.0,21 Oct 2024,Gujarat
193,1160,Vadodara(Baroda),Vadodara(Sayajipura),Mango,Other,Small,1000.0,3000.0,1500.0,13 May 2025,Gujarat
194,3328,Jamnagar,Jam Jodhpur,Jowar(Sorghum),Other,FAQ,2055.0,4500.0,3255.0,24 Apr 2025,Gujarat
195,4437,Banaskanth,Thara(Shihori),Bajra(Pearl Millet/Cumbu),Other,FAQ,2400.0,2525.0,2462.5,06 Nov 2024,Gujarat
196,1385,Botad,Botad(Haddad),Cotton,Shanker 6 (B) 30mm FIne,Non-FAQ,7355.0,8000.0,7750.0,29 Jul 2025,Gujarat
197,1201,Devbhumi Dwarka,Jam Khambalia,Jowar(Sorghum),Other,FAQ,2250.0,2880.0,2625.0,06 Nov 2024,Gujarat
198,10404,Amreli,Rajula,Bajra(Pearl Millet/Cumbu),Local,FAQ,1805.0,2855.0,2330.0,08 Aug 2025,Gujarat
199,4061,Junagarh,Junagadh,Green Gram (Moong)(Whole),Green (Whole),FAQ,5500.0,8265.0,7250.0,13 Sep 2024,Gujarat
200,5174,Banaskanth,Thara(Shihori),Mustard,Big 100 Kg,Non-FAQ,5450.0,5550.0,5500.0,23 May 2025,Gujarat
201,618,Kollam,Anchal,Brinjal,Brinjal,FAQ,4200.0,4400.0,4300.0,05 Jul 2025,Kerala
202,8983,Malappuram,Kondotty,Brinjal,Other,FAQ,3900.0,4100.0,4000.0,28 Jan 2025,Kerala
203,14037,Ernakulam,North Paravur,Bhindi(Ladies Finger),Bhindi,FAQ,4500.0,5500.0,5000.0,18 Oct 2024,Kerala
204,8326,Kollam,Kottarakkara,Cabbage,Other,FAQ,4000.0,5000.0,4500.0,14 Jul 2025,Kerala
